"","id_CH","abundance","occurrences","order","genus","species","volume_um.3","mdn_nu.biovol","volume_um.3.1"
"1","2",140897956,470,"Burkholderiales","Leptothrix","echinata",NA,NA,"1"
"2","1",69039730806.5,208,"Burkholderiales","Leptothrix","ochracea",NA,NA,"1"
"3","15",193129267,99,"Thiotrichales","Thiospira","sp",NA,NA,NA
"4","388",106170.37037037,91,"Oscillatoriales","Komvophoron","sp",NA,NA,NA
"5","397",32062.962962963,85,"Synechococcales","Limnothrix","planctonica",NA,NA,NA
"6","209",36828488.2962963,50,"Synechococcales","Woronichinia","sp",NA,NA,NA
"7","2812",4385.18518518519,48,"Tetrasporales","Chlamydocapsa","sp",NA,NA,NA
"8","395",10883.8888888889,27,"Synechococcales","Planktolyngbya","sp",NA,NA,NA
"9","214",1684.44444444444,23,"Synechococcales","Snowella","sp",NA,NA,NA
"10","10",1585400,13,"Burkholderiales","Leptothrix","pseudovacuolata",NA,NA,"1"
"11","50",798040,9,"Planctomycetales","Planctomyces","sp",NA,NA,"1"
"12","509",728.518518518519,8,"Synechococcales","Limnothrix","sp",NA,NA,NA
"13","3",159400,7,"","Siderocapsa","sp",NA,NA,"1"
"14","4",3810000,6,"Burkholderiales","Lampropedia","hyalina",NA,NA,"10"
"15","3072",62.9629629629629,6,"Sphaeropleales","Thorakochloris","sp",NA,NA,NA
"16","3125",298.888888888889,5,"Ulotrichales","Chlorhormidium","sp",NA,NA,NA
"17","389",340.74074074074,4,"Synechococcales","Jaaginema","metaphyticum",NA,NA,NA
"18","7",1230000,3,"Chromatiales","","",NA,NA,NA
"19","1544",135.185185185185,3,"Tribonematales","Xanthonema","exile",NA,NA,NA
"20","5",3839000,2,"Chromatiales","Thiopedia","rosea",NA,NA,"10"
"21","13",36000,1,"Nitrosomonadales","Spirillum","volutans",NA,NA,NA
"22","387",296.296296296296,1,"Oscillatoriales","Komvophoron","minutum",NA,NA,NA
"23","3908",422.222222222222,1,"","","",NA,NA,NA
